id	name	reaction_using_names	reaction_using_ids	Reversibility	enzyme(s)	orfs	nrc-1_genes	type	references
R02085	(S)-3-Hydroxy-3-methylglutaryl-CoA hydro-lyase	(S)-3-Hydroxy-3-methylglutaryl-CoA <=> 3-Methylglutaconyl-CoA + H2O	C00356 <=> C03231 + C00001	1	4.2.1.18			Reaction	
R90102	ABC-T: (3-Phospho-glycerate)	3-Phospho-D-Glycerate (E) + ATP + H2O => 3-Phospho-D-glycerate + ADP + Orthophosphate + H+	CE00197 + C00002 + C00001 => C00197 + C00008 + C00009 + C00080	0		OE1420F	VNG0270C	Membrane Transport	
R90002	Oxid Phos: Complex IV	Oxygen + H+ + Halocyanin (reduced) => H2O + H+ (pmf associated) + Halocyanin (oxidized)	C00007 + C00080 + C90015 => C00001 + C90000 + C90014	0	1.9.3.1	OE1979R OE1984F OE1988R OE4070R OE4071R	VNG0657G VNG0662G VNG0665G VNG2193G VNG2195G	Reaction	PMID:2542239
R01068	"D-Fructose-1,6-bisphosphate D-glyceraldehyde-3-phosphate-lyase"	"D-Fructose 1,6-bisphosphate <=> Glycerone phosphate + D-Glyceraldehyde 3-phosphate"	C00354 <=> C00111 + C00118	1	4.1.2.13	OE2019F	VNG0683C	Reaction	PMID:2256927 PMID:3255682 PMID:6642538 PMID:9827332
R01870	Orotidine-5'-phosphate:pyrophosphate phosphoribosyltransferase	Orotidine 5'-phosphate + Pyrophosphate <=> Orotate + 5-Phospho-alpha-D-ribose 1-diphosphate	C01103 + C00013 <=> C00295 + C00119	1	2.4.2.10	OE1672F OE3953R	VNG0448G VNG2118G	Reaction	
R04030	O-Succinylbenzoate:CoA ligase (AMP-forming)	ATP + 2-Succinylbenzoate + CoA => AMP + Pyrophosphate + 2-Succinylbenzoyl-CoA	C00002 + C02730 + C00010 => C00020 + C00013 + C03160	0	6.2.1.26	OE2555R	VNG1073G	Reaction	
R90045	Symport: (L-Leucine:H+)	L-Leucine (E) + H+ (pmf associated) <=> L-Leucine + H+	CE00123 + C90000 <=> C00123 + C00080	1				Membrane Transport	PMID:10779875 PMID:889797
R01541	ATP:2-dehydro-3-deoxy-D-gluconate 6-phosphotransferase	ATP + 2-Dehydro-3-deoxy-D-gluconate => ADP + 2-Dehydro-3-deoxy-6-phospho-D-gluconate	C00002 + C00204 => C00008 + C04442	0	2.7.1.45	OE1266R	VNG0158G	Reaction	PMID:11271421 PMID:3255682
R03314		L-Glutamate 5-semialdehyde <=> (S)-1-Pyrroline-5-carboxylate + H2O	C01165 <=> C03912 + C00001	1	-			Reaction	PMID:9827332
R05066	3-Hydroxy-2-methylpropanoate:NAD+ oxidoreductase	(S)-3-Hydroxyisobutyrate + NAD+ <=> (S)-Methylmalonate semialdehyde + NADH + H+	C06001 + C00003 <=> C06002 + C00004 + C00080	1	1.1.1.35	OE2015R	VNG0681G	Reaction	
R00245	L-Glutamate 5-semialdehyde:NAD+ oxidoreductase	L-Glutamate 5-semialdehyde + NAD+ + H2O <=> L-Glutamate + NADH + H+	C01165 + C00003 + C00001 <=> C00025 + C00004 + C00080	1	1.5.1.12	OE2133R OE2190R OE2367F OE4529F	VNG0771G VNG0808G VNG0937G VNG2513G	Reaction	PMID:9827332
R00705	"3-Oxopropanoate:NAD+ oxidoreductase (decarboxylating, CoA-acetylating)"	3-Oxopropanoate + CoA + NAD+ => Acetyl-CoA + CO2 + NADH + H+	C00222 + C00010 + C00003 => C00024 + C00011 + C00004 + C00080	0	1.2.1.18	OE4529F OE2367F OE2190R OE2133R	VNG2513G VNG0937G VNG0808G VNG0771G	Reaction	
R90085	Symport: (Deoxyuridine:H+)	Deoxyuridine (E) + H+ (pmf associated) => Deoxyuridine + H+	CE00526 + C90000 => C00526 + C00080	0				Membrane Transport	
R90029	ABC-T L-Alanine	L-Alanine (E) + ATP + H2O => L-Alanine + ADP + Orthophosphate + H+	CE00041 + C00002 + C00001 => C00041 + C00008 + C00009 + C00080	0				Membrane Transport	
R01049	ATP:D-ribose-5-phosphate pyrophosphotransferase	ATP + D-Ribose 5-phosphate <=> AMP + 5-Phospho-alpha-D-ribose 1-diphosphate	C00002 + C00117 <=> C00020 + C00119	1	2.7.6.1	OE4085R	VNG2203G	Reaction	
R90049	Symport: (Alanine:H+)	L-Alanine (E) + H+ (pmf associated) <=> L-Alanine + H+	CE00041 + C90000 <=> C00041 + C00080	1				Membrane Transport	PMID:889797
R00617	ATP:thiamin-phosphate phosphotransferase	ATP + Thiamin monophosphate => ADP + Thiamin diphosphate	C00002 + C01081 => C00008 + C00068	0	2.7.4.16	OE3818F	VNG2011G	Reaction	
R00435	ATP:polynucleotide adenylyltransferase	ATP => Pyrophosphate + AMP	C00002 => C00013 + C00020	0	2.7.7.6	OE4740R OE4739R OE4741R OE4742R	VNG2664G VNG2662G VNG2665G VNG2666G	Reaction	
R00203	Pyruvaldehyde:NAD+ oxidoreductase Pyruvaldehyde:NAD+ 2-oxidoreductase	Methylglyoxal + NAD+ + H2O => Pyruvate + NADH + H+	C00546 + C00003 + C00001 => C00022 + C00004 + C00080	0	1.2.1.22	OE4529F OE2133R OE2190R OE2367F	VNG2513G VNG0771G VNG0808G VNG0937G	Reaction	
R90132	Alt. Shikimate synth. reaction	6-Deoxy-5-Ketofructose 1 phosphate + NAD+ <=> 6-Deoxy-5-ketomannitol-1-phosphate + NADH	C90002 + C00003 <=> R90009 + C00004	1				Reaction	PMID:15182204
R00516	UTP:cytidine 5'-phosphotransferase	UTP + Cytidine => UDP + CMP	C00075 + C00475 => C00015 + C00055	0	2.7.1.48	OE2749F	VNG1219G	Reaction	
R03458	5-Amino-6-(5-phosphoribitylamino)uracil:NADP+ 1'-oxidoreductase	5-Amino-6-(5'-phosphoribosylamino)uracil + NADPH => 5-Amino-6-(5'-phosphoribitylamino)uracil + NADP+	C01268 + C00005 => C04454 + C00006	0	1.1.1.193	OE2802F	VNG1256G	Reaction	
R05145	Biotinyl-5'-AMP:apo-[carboxylase] ligase (AMP-forming)	Biotinyl-5'-AMP + Apo-[carboxylase] <=> AMP + Holo-[carboxylase]	C05921 + C06249 <=> C00020 + C06250	1	6.3.4.15	OE3186F OE1987F	VNG1534a VNG0664G	Reaction	
R03947	S-Adenosyl-L-methionine:uroporphyrin-III C-methyltransferase	Precorrin 2 + NAD+ => Sirohydrochlorin + NADH + H+	C02463 + C00003 => C05778 + C00004 + C00080	0	2.1.1.107 1.3.1.76	OE4277F OE3498R	VNG2331G VNG1775C	Reaction	
R04992		"Succinate semialdehyde-thiamin diphosphate anion + Isochorismate => 2-Succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate + Thiamin diphosphate + Pyruvate"	C05816 + C00885 => C05817 + C00068 + C00022	0	2.5.1.64	OE2563R	VNG1081G	Reaction	
R90036	Symport: (L-Glutamate:H+)	L-Glutamate (E) + H+ (pmf associated) <=> L-Glutamate + H+	CE00025 + C90000 <=> C00025 + C00080	1		OE5200R	VNG6308G	Membrane Transport	PMID:889797
R01126	Inosine 5'-monophosphate phosphohydrolase	IMP + H2O => Inosine + Orthophosphate	C00130 + C00001 => C00294 + C00009	0	3.1.3.5	OE3017R	VNG1408G	Reaction	
R00582	L-O-Phosphoserine phosphohydrolase	O-Phospho-L-serine + H2O => L-Serine + Orthophosphate	C01005 + C00001 => C00065 + C00009	0	3.1.3.3	OE4405R	VNG2423G	Reaction	
R03067	"2-Amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine- diphosphate:4-aminobenzoate 2-amino-4-hydroxydihydropteridine-6-methenyltransferase"	"2-Amino-7,8-dihydro-4-hydroxy-6-(diphosphooxymethyl)pteridine + 4-Aminobenzoate => Pyrophosphate + Dihydropteroate"	C04807 + C00568 => C00013 + C00921	0	2.5.1.15	OE1615R	VNG0412G	Reaction	
R01221	glycine synthase	"5,10-Methylenetetrahydrofolate + NH3 + CO2 + NADH + H+ <=> Glycine + Tetrahydrofolate + NAD+"	C00143 + C00014 + C00011 + C00004 + C00080 <=> C00037 + C00101 + C00003	1	2.1.2.10	OE3278R	VNG1606G	Reaction	
R00575	"Carbon-dioxide:L-glutamine amido-ligase (ADP-forming, carbamate-phosphorylating)"	ATP + L-Glutamine + HCO3- + H2O => ADP + Orthophosphate + L-Glutamate + Carbamoyl phosphate	C00002 + C00064 + C00288 + C00001 => C00008 + C00009 + C00025 + C00169	0	6.3.5.5	OE3554F OE3556R	VNG1814G VNG1815G	Reaction	
R00651	O-Acetyl-L-homoserine acetate-lyase (adding methanethiol)	O-Acetyl-L-homoserine + Methanethiol => L-Methionine + Acetate	C01077 + C00409 => C00073 + C00033	0	2.5.1.49	OE4398F	VNG2421G	Reaction	PMID:8206953
R04095	"3-Methylbutanoyl-CoA:(acceptor) 2,3-oxidoreductase"	3-Methylbutanoyl-CoA + FAD <=> 3-Methylcrotonyl-CoA + FADH2	C02939 + C00016 <=> C03069 + C01352	1	1.3.99.3	OE2710F OE2013R OE2138F OE3123R OE4500R OE1555F	VNG1191G VNG0679G VNG0775G VNG1482G VNG2499G VNG0371G	Reaction	
R00549	ATP:riboflavin 5'-phosphotransferase	ATP + Riboflavin => ADP + FMN	C00002 + C00255 => C00008 + C00061	0	2.7.1.26			Reaction	
R01036	Glycerol:NAD+ oxidoreductase	Glycerol + NAD+ <=> D-Glyceraldehyde + NADH + H+	C00116 + C00003 <=> C00577 + C00004 + C00080	1	1.1.1.1 1.1.1.21	OE3563R OE4674F OE1698R OE2451R OE2486F OE3312R	VNG1821G VNG2617G VNG0467G VNG0998G VNG1018G VNG1628G	Reaction	
R05149	"S-Adenosyl-L-methionine:1-precorrin-6Y C5,15-methyltransferase (C-12-decarboxylating)"	S-Adenosyl-L-methionine + Precorrin 6Y => S-Adenosyl-L-homocysteine + Precorrin 8X + CO2	C00019 + C06319 => C00021 + C06408 + C00011	0	2.1.1.132	OE3207F OE3238F	VNG1550G VNG1568G	Reaction	
R05808		Cobalt-precorrin 2 + S-Adenosyl-L-methionine => Cobalt-precorrin 3 + S-Adenosyl-L-homocysteine	C11538 + C00019 => C11539 + C00021	0	2.1.1.130	OE3209F	VNG1551G	Reaction	
R05220		"Cob(I)yrinate a,c diamide + ATP => Adenosyl cobyrinate a,c diamide + Pyrophosphate + Orthophosphate"	C06505 + C00002 => C06506 + C00013 + C00009	0	2.5.1.17	OE3245F	VNG1574G	Reaction	
R01286	L-Cystathionine L-homocysteine-lyase (deaminating)	L-Cystathionine + H2O => L-Homocysteine + NH3 + Pyruvate	C02291 + C00001 => C00155 + C00014 + C00022	0	4.4.1.8	OE2173F OE2681F	VNG0796G VNG1172G	Reaction	
R03013	L-Histidinol-phosphate phosphohydrolase	L-Histidinol phosphate + H2O => L-Histidinol + Orthophosphate	C01100 + C00001 => C00860 + C00009	0	3.1.3.15	OE2276F	VNG0865C	Reaction	
R00430	GTP:pyruvate O2-phosphotransferase	GDP + Phosphoenolpyruvate => GTP + Pyruvate	C00035 + C00074 => C00044 + C00022	0	2.7.1.40	OE1495R	VNG0324G	Reaction	
R03662	L-Serine:tRNA(Ser) ligase (AMP-forming)	ATP + L-Serine + tRNA(Ser) <=> AMP + Pyrophosphate + L-Seryl-tRNA(Ser)	C00002 + C00065 + C01650 <=> C00020 + C00013 + C02553	1	6.1.1.11	OE3893F	VNG2072G	Reaction	
R03224	(3R)-3-Hydroxyacyl-CoA hydro-lyase	"(3R)-3-Hydroxyacyl-CoA <=> cis-2,3-Dehydroacyl-CoA + H2O"	C01086 <=> C01122 + C00001	1	4.2.1.17	OE3846R	VNG2032G	Reaction	
R00124	ATP:nucleoside-diphosphate phosphatransferase	ATP + ADP <=> ADP + ATP	C00002 + C00008 <=> C00008 + C00002	1	2.7.4.6	OE2667F	VNG1160G	Reaction	
R02237	Tetrahydrofolate:L-glutamate gamma-ligase (ADP-forming)	ATP + Dihydropteroate + L-Glutamate => ADP + Orthophosphate + Dihydrofolate	C00002 + C00921 + C00025 => C00008 + C00009 + C00415	0	6.3.2.17 6.3.2.12 2.1.1.45	OE1615R	VNG0412G	Reaction	
R01771	ATP:L-homoserine O-phosphotransferase	ATP + L-Homoserine => ADP + O-Phospho-L-homoserine	C00002 + C00263 => C00008 + C01102	0	2.7.1.39	OE3531R	VNG1797G	Reaction	PMID:3700337
R02914	"4,5-Dihydro-4-oxo-5-imidazolepropanoate hydro-lyase"	Urocanate + H2O <=> 4-Imidazolone-5-propanoate	C00785 + C00001 <=> C03680	1	4.2.1.49	OE2734F	VNG1208G	Reaction	
R01698	Dihydrolipoamide:NAD+ oxidoreductase	Dihydrolipoamide + NAD+ <=> Lipoamide + NADH	C00579 + C00003 <=> C00248 + C00004	1	1.8.1.4	OE4116F	VNG2220G	Reaction	PMID:6266826
R04109	glutamyl-tRNA reductase	L-Glutamyl-tRNA(Glu) + NADPH => (S)-4-Amino-5-oxopentanoate + tRNA(Glu) + NADP+ + H2O	C02987 + C00005 => C03741 + C01641 + C00006 + C00001	0	1.2.1.-	OE3496R	VNG1774G	Reaction	
R00410	Succinyl-CoA:3-oxo-acid CoA-transferase	Succinyl-CoA + Acetoacetate <=> Succinate + Acetoacetyl-CoA	C00091 + C00164 <=> C00042 + C00332	1	2.8.3.5	OE5189F OE4211F	VNG6298C VNG2291G	Reaction	
R00512	ATP:CMP phosphotransferase	ATP + CMP <=> ADP + CDP	C00002 + C00055 <=> C00008 + C00112	1	2.7.4.14	OE3429F	VNG1727G	Reaction	
R05224		"Hydrogenobyrinate + L-Glutamine + ATP + H2O => Hydrogenobyrinate a,c diamide + Orthophosphate + L-Glutamate + ADP"	C06399 + C00064 + C00002 + C00001 => C06503 + C00009 + C00025 + C00008	0	6.3.5.9	OE3243F	VNG1573G	Reaction	
R90068	Channel: (Potassium)	Potassium <=> Potassium (E)	C00238 <=> CE00238	1		OE1931R	VNG0615C	Membrane Transport	
R90089	ABC-T: (D-Glucose)	D-Glucose (E) + ATP + H2O => D-Glucose + ADP + H+ + Orthophosphate	CE00031 + C00002 + C00001 => C00031 + C00008 + C00080 + C00009	0		OE1314F	VNG0188H	Membrane Transport	Arch_Microbiol_155:131-136
R90025	ABC-T L-Leucine	L-Leucine (E) + ATP + H2O => L-Leucine + ADP + Orthophosphate + H+	CE00123 + C00002 + C00001 => C00123 + C00008 + C00009 + C00080	0				Membrane Transport	
R90117	ABC-T: (Dipeptide)	Dipeptide (E) + ATP + H2O => Dipeptide + ADP + Orthophosphate + H+	CE00107 + C00002 + C00001 => C00107 + C00008 + C00009 + C00080	0		OE4303R OE4555F OE4304R OE4305R OE4550F OE4551F OE4552F	VNG2346G VNG2531G VNG2347G VNG2349G VNG2526G VNG2527G VNG2529G	Membrane Transport	PMID:10064582
R00509	ATP:adenylylsulfate 3'-phosphotransferase	ATP + Adenylylsulfate => ADP + 3'-Phosphoadenylyl sulfate	C00002 + C00224 => C00008 + C00053	0	2.7.1.25			Reaction	
R90109	Symport: (Pantothenate:Na+)	Pantothenate (E) + Sodium (E) [pmf] => Pantothenate + Sodium	CE00864 + C90004 => C00864 + C01330	0		OE3511F	VNG1785G	Membrane Transport	
R02021	"Adenosine 3',5'-bisphosphate,sulfite:oxidized-thioredoxin oxidoreductase (3'-phosphoadenosine-5'-phosphosulfate -forming)"	"Thioredoxin + 3'-Phosphoadenylyl sulfate => Oxidized thioredoxin + Sulfite + Adenosine 3',5'-bisphosphate + H+"	C00342 + C00053 => C00343 + C00094 + C00054 + C00080	0	1.8.4.8			Reaction	
R90139	Molybdopterin biosynthesis	GTP + S-Adenosyl-L-methionine => Cyclic pyranopterin monophosphate + S-Adenosyl-L-homocysteine	C00044 + C00019 => C90010 + C00021	0		OE1142F OE2825F	VNG0085G VNG1273G	Reaction	PMID:15716436
R03165	Hydroxymethylbilane hydro-lyase(cyclizing)	Hydroxymethylbilane <=> Uroporphyrinogen III + H2O	C01024 <=> C01051 + C00001	1	4.2.1.75	OE4281F	VNG2332G	Reaction	
R01171	"Butanoyl-CoA:(acceptor) 2,3-oxidoreductase Butanoyl-CoA:NAD+ trans-2-oxidoreductase"	Butanoyl-CoA + NAD+ <=> Crotonoyl-CoA + NADH + H+	C00136 + C00003 <=> C00877 + C00004 + C00080	1	1.3.99.2	OE2013R OE1555F OE2138F OE2710F OE3123R OE4500R	VNG0679G VNG0371G VNG0775G VNG1191G VNG1482G VNG2499G	Reaction	
R90042	Symport: (L-Asparagine:H+)	L-Asparagine (E) + H+ (pmf associated) <=> L-Asparagine + H+	CE00152 + C90000 <=> C00152 + C00080	1				Membrane Transport	PMID:889797
R03654	Glycine:tRNA(Gly) ligase (AMP-forming)	ATP + Glycine + tRNA(Gly) <=> AMP + Pyrophosphate + Glycyl-tRNA(Gly)	C00002 + C00037 + C01642 <=> C00020 + C00013 + C02412	1	6.1.1.14	OE4307F	VNG2352G	Reaction	
R04230	(R)-4'-Phosphopantothenate:L-cysteine ligase	ATP + D-4'-Phosphopantothenate + L-Cysteine => ADP + Orthophosphate + (R)-4'-Phosphopantothenoyl-L-cysteine	C00002 + C03492 + C00097 => C00008 + C00009 + C04352	0	6.3.2.5	OE1856R	VNG0572G	Reaction	
R02313		"N6-(L-1,3-Dicarboxypropyl)-L-lysine + NAD+ + H2O <=> L-Glutamate + L-2-Aminoadipate 6-semialdehyde + NADH + H+"	C00449 + C00003 + C00001 <=> C00025 + C04076 + C00004 + C00080	1	1.5.1.9			Reaction	PMID:3700337
R90070	Diffusion: (H2O)	H2O (E) <=> H2O	CE00001 <=> C00001	1				Membrane Transport	
R04170	(S)-3-Hydroxydodecanoyl-CoA hydro-lyase	(S)-3-Hydroxydodecanoyl-CoA <=> 2-trans-Dodecenoyl-CoA + H2O	C05262 <=> C03221 + C00001	1	4.2.1.17	OE3846R	VNG2032G	Reaction	
R03170	"2-Methylbutanoyl-CoA:(acceptor) 2,3-oxidoreductase"	2-Methylbutanoyl-CoA + Oxygen => 2-Methylbut-2-enoyl-CoA + H2O	C01033 + C00007 => C03345 + C00001	0	1.3.99.2	OE2013R OE1555F OE2138F OE2710F OE3123R OE4500R	VNG0679G VNG0371G VNG0775G VNG1191G VNG1482G VNG2499G	Reaction	
R90097	Diffusion: (Formate)	Formate => Formate (E)	C00058 => CE00058	0				Membrane Transport	
R00964	ATP:uridine 5'-phosphotransferase	ATP + Uridine => ADP + UMP	C00002 + C00299 => C00008 + C00105	0	2.7.1.48	OE2749F	VNG1219G	Reaction	
R01776	Acetyl-CoA:L-homoserine O-acetyltransferase	Acetyl-CoA + L-Homoserine <=> CoA + O-Acetyl-L-homoserine	C00024 + C00263 <=> C00010 + C01077	1	2.3.1.31	OE4397F	VNG2420G	Reaction	
R03132	O3-Acetyl-L-serine acetate-lyase (adding hydrogen sulfide)	O-Acetyl-L-serine + Thiosulfate => S-Sulfo-L-cysteine + Acetate	C00979 + C00320 => C05824 + C00033	0	2.5.1.47 2.5.1.48	OE1916F OE2860R OE2173F OE2681F	VNG0606G VNG1301G VNG0796G VNG1172G	Reaction	
R01716	Chorismate:L-glutamine amido-ligase	Chorismate + L-Glutamine <=> 4-amino-4-deoxychorismate + L-Glutamate	C00251 + C00064 <=> C11355 + C00025	1	6.3.5.8			Reaction	
R04509	ATP:4-amino-2-methyl-5-phosphomethylpyrimidine phosphotransferase	ATP + 4-Amino-2-methyl-5-phosphomethylpyrimidine => ADP + 2-Methyl-4-amino-5-hydroxymethylpyrimidine diphosphate	C00002 + C04556 => C00008 + C04752	0	2.7.4.7	OE4654F	VNG2606G	Reaction	
R01083	"N6-(1,2-Dicarboxyethyl)AMP AMP-lyase"	"N6-(1,2-Dicarboxyethyl)-AMP <=> Fumarate + AMP"	C03794 <=> C00122 + C00020	1	4.3.2.2	OE1623F	VNG0415G	Reaction	
R90131	MJ1249 homolog reaction	"2-amino-3,7-dideoxy-hept-6-ulsonic acid => 3-Dehydroquinate"	C90003 => C00944	0		OE1475F	VNG0310C	Reaction	PMID:15182204
R00864	No assigned EC No.	Sulfite + Sulfur <=> Thiosulfate	C00094 + C00087 <=> C00320	1				Reaction	
R03696	L-threo-3-Methylaspartate ammonia-lyase	L-threo-3-Methylaspartate <=> Mesaconate + NH3	C03618 <=> C01732 + C00014	1	4.3.1.2	OE4207F	VNG2289G	Reaction	
R00376	Deoxyguanosine 5'-triphosphate:DNA deoxynucleotidyltransferase (DNA-directed)	dGTP => Pyrophosphate + dGMP	C00286 => C00013 + C00362	0	2.7.7.7	OE4293R	VNG2338G	Reaction	
R00183	Adenosine 5'-monophosphate phosphohydrolase	AMP + H2O => Adenosine + Orthophosphate	C00020 + C00001 => C00212 + C00009	0	3.1.3.5	OE3017R	VNG1408G	Reaction	
R90113	Antiport: (K+:H+)	Potassium + H+ (pmf associated) => Potassium (E) + H+	C00238 + C90000 => CE00238 + C00080	0		OE3889R	VNG2068C	Membrane Transport	
R90055	ABC-T: (Sulfate)	Sulfate (E) + ATP + H2O => Sulfate + ADP + Orthophosphate + H+	CE00059 + C00002 + C00001 => C00059 + C00008 + C00009 + C00080	0		OE3269R	VNG1592G	Membrane Transport	
R02018	2'-Deoxyuridine 5'-diphosphate:oxidized-thioredoxin 2'-oxidoreductase	Thioredoxin + UDP => dUDP + Oxidized thioredoxin + H2O	C00342 + C00015 => C01346 + C00343 + C00001	0	1.17.4.1	OE3328R OE4345R OE4346R	VNG1644G VNG2383G VNG2384G	Reaction	PMID:8990160
R01071	1-(5-Phospho-D-ribosyl)-ATP:pyrophosphate phosphoribosyl-transferase	ATP + 5-Phospho-alpha-D-ribose 1-diphosphate <=> Phosphoribosyl-ATP + Pyrophosphate	C00002 + C00119 <=> C02739 + C00013	1	2.4.2.17	OE4152R	VNG2247G	Reaction	PMID:3700337
R01676	Guanine aminohydrolase	Guanine + H2O => Xanthine + NH3	C00242 + C00001 => C00385 + C00014	0	3.5.4.3	OE2730R	VNG1205C	Reaction	PMID:9457844
R90093	ABC-T: (Cobamide Coenzyme)	Cobamide coenzyme (E) + ATP + H2O => Cobamide coenzyme + ADP + H+ + Orthophosphate	CE00194 + C00002 + C00001 => C00194 + C00008 + C00080 + C00009	0		OE2952F OE2955F OE2951R	VNG1370G VNG1371G VNG1369G	Membrane Transport	PMID:16109931
R04754	"Decanoyl-CoA:(acceptor) 2,3-oxidoreductase"	Decanoyl-CoA + FAD => trans-Dec-2-enoyl-CoA + FADH2	C05274 + C00016 => C05275 + C01352	0	1.3.3.6 1.3.99.3 1.3.99.13	OE2710F OE1555F OE2013R OE2138F OE3123R OE4500R	VNG1191G VNG0371G VNG0679G VNG0775G VNG1482G VNG2499G	Reaction	
R03348	Nicotinate-nucleotide:pyrophosphate phosphoribosyltransferase (carboxylating)	"Pyridine-2,3-dicarboxylate + 5-Phospho-alpha-D-ribose 1-diphosphate => Nicotinate D-ribonucleotide + Pyrophosphate + CO2"	C03722 + C00119 => C01185 + C00013 + C00011	0	2.4.2.19	OE3648F	VNG1884G	Reaction	
R01547	ATP:AMP phosphotransferase	ATP + dAMP <=> ADP + dADP	C00002 + C00360 <=> C00008 + C00206	1	2.7.4.3	OE3425F	VNG1724G	Reaction	
R02257	"Propane-1,2-diol:NAD+ oxidoreductase"	"Propane-1,2-diol + NAD+ <=> (S)-Lactaldehyde + NADH"	C00583 + C00003 <=> C00424 + C00004	1	1.1.1.77	OE4036R OE4021F OE1778R OE2916F	VNG2171G VNG2158G VNG0523G VNG1341G	Reaction	
R01354	Propanoate:CoA ligase (AMP-forming)	ATP + Propanoate => Pyrophosphate + Propinol adenylate	C00002 + C00163 => C00013 + C05983	0	6.2.1.1	OE2450F OE1726F	VNG0997G VNG0484G	Reaction	
R00985	Chorismate pyruvate-lyase (amino-accepting)	Chorismate + NH3 => Anthranilate + Pyruvate + H2O	C00251 + C00014 => C00108 + C00022 + C00001	0	4.1.3.27	OE1568F OE1570F OE1573A1F OE3331R OE3332R	VNG0384G VNG0386G VNG0386G VNG1646G VNG1647G	Reaction	
R01734	Nicotinate-nucleotide:dimethylbenzimidazole phospho-D-ribosyltransferase	Dimethylbenzimidazole <=> Riboflavin	C03114 <=> C00255	1	-			Reaction	
R00330	ATP:nucleoside-diphosphate phosphatransferase	ATP + GDP <=> ADP + GTP	C00002 + C00035 <=> C00008 + C00044	1	2.7.4.6	OE2667F	VNG1160G	Reaction	
R00586		L-Serine + Acetyl-CoA => O-Acetyl-L-serine + CoA	C00065 + C00024 => C00979 + C00010	0	2.3.1.30	OE3122F	VNG1481G	Reaction	
R02096	dTTP:cytidine 5'-phosphotransferase	dTTP + Cytidine => dTDP + CMP	C00459 + C00475 => C00363 + C00055	0	2.7.1.48	OE2749F	VNG1219G	Reaction	
R03174		S-(2-Methylbutanoyl)-dihydrolipoamide + CoA => 2-Methylbutanoyl-CoA + Dihydrolipoamide	C05118 + C00010 => C01033 + C00579	0	2.3.1.-			Reaction	
R00481		L-Aspartate + Oxygen => Iminoaspartate + H2O2	C00049 + C00007 => C05840 + C00027	0	1.4.3.16	OE3646F	VNG1883G	Reaction	
R05341	Lycopene Cyclase	Lycopene <=> gamma-Carotene	C05432 <=> C05435	1		OE3983R	VNG2137G	Reaction	
R01010	Glycerone phosphate phosphohydrolase (alkaline optimum)	Glycerone phosphate + H2O => Glycerone + Orthophosphate	C00111 + C00001 => C00184 + C00009	0	3.1.3.1	OE5192R	VNG6301G	Reaction	
R90135	Quinol Oxidase	Menaquinol + Oxygen => Menaquinone + H2O2	C05819 + C00007 => C00828 + C00027	0	1.10.3.-	OE7065F OE6185F OE7066F OE6186F	VNG7039 VNG6053G VNG7040 VNG6055G	Reaction	
R01466	O-Phospho-L-homoserine phospho-lyase (adding water)	O-Phospho-L-homoserine + H2O => L-Threonine + Orthophosphate	C01102 + C00001 => C00188 + C00009	0	4.2.3.1	OE1807R OE3941F OE4412R	VNG0541G VNG2108G VNG2430G	Reaction	PMID:3700337
R03647	L-Aspartate:tRNAAsp ligase (AMP-forming)	ATP + L-Aspartate + tRNA(Asn) <=> AMP + Pyrophosphate + L-Aspartyl-tRNA(Asn)	C00002 + C00049 + C01637 <=> C00020 + C00013 + C06113	1	6.1.1.12	OE1687F	VNG0461G	Reaction	
R00716		"L-Lysine + 2-Oxoglutarate + NADPH + H+ => N6-(L-1,3-Dicarboxypropyl)-L-lysine + NADP+ + H2O"	C00047 + C00026 + C00005 + C00080 => C00449 + C00006 + C00001	0	1.5.1.8			Reaction	PMID:3700337
R00036	5-Aminolevulinate hydro-lyase(adding 5-aminolevulinate and cyclizing)	5-Aminolevulinate => Porphobilinogen + H2O	C00430 => C00931 + C00001	0	4.2.1.24	OE4262F	VNG2322G	Reaction	
R90022	ABC-T L-Asparagine	L-Asparagine (E) + ATP + H2O => L-Asparagine + ADP + Orthophosphate + H+	CE00152 + C00002 + C00001 => C00152 + C00008 + C00009 + C00080	0				Membrane Transport	
R04742	Decanoyl-CoA:acetyl-CoA C-acyltransferase	Decanoyl-CoA + Acetyl-CoA <=> CoA + 3-Oxododecanoyl-CoA	C05274 + C00024 <=> C00010 + C05263	1	2.3.1.16	OE3884F	VNG2063G	Reaction	
R00236	Acetyl adenylate:CoA ligase (AMP-forming)	Acetyl adenylate + CoA => AMP + Acetyl-CoA	C05993 + C00010 => C00020 + C00024	0	6.2.1.1	OE2450F OE1726F	VNG0997G VNG0484G	Reaction	
R90074	Diffusion: (NH3)	NH3 (E) <=> NH3	CE00014 <=> C00014	1				Membrane Transport	
R01123	Isopentenyl-diphosphate delta3-delta2-isomerase	Isopentenyl diphosphate <=> Dimethylallyl diphosphate	C00129 <=> C00235	1	5.3.3.2	OE3560F OE6213R OE7093R	VNG1818G VNG6081G VNG7060	Reaction	PMID:3700337
